Product Name,Product ID,Price,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Box Fraldas Activity XXL 9-14kg T4,7204009,34.99,"€0,24/un",Dodot,Bebé/Fraldas e Toalhitas/Fraldas 4-11kg/9-15kg (T3 e T4),https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw83ad6adf/images/col/720/7204009-hero.jpg?sw=280&sh=280,emb. 144 un,https://www.continente.pt/produto/box-fraldas-activity-xxl-9-14kg-t4-dodot-7204009.html,bebe,2025-04-21,Continente
Box Fraldas Activity XXL +13kg T6,7203979,34.99,"€0,30/un",Dodot,Bebé/Fraldas e Toalhitas/Fraldas 13-18kg/+18kg (T5 e T6),https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9fa21fe6/images/col/720/7203979-hero.jpg?sw=280&sh=280,emb. 117 un,https://www.continente.pt/produto/box-fraldas-activity-xxl-13kg-t6-dodot-7203979.html,bebe,2025-04-21,Continente
Fraldas Cuidado Total 11-16kg T5,8203464,29.7,"€0,41/un",Dodot,Bebé/Fraldas e Toalhitas/Fraldas 13-18kg/+18kg (T5 e T6),https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwd9d38a22/images/col/820/8203464-hero.jpg?sw=280&sh=280,emb. 72 un (2 x 36 un),https://www.continente.pt/produto/fraldas-cuidado-total-11-16kg-t5-dodot-8203464.html,bebe,2025-04-21,Continente
Toalhitas Bebé Aqua Pure,8203701,17.8,"€0,03/un",Dodot,Bebé/Fraldas e Toalhitas/Toalhitas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw7370bbaf/images/col/820/8203701-hero.png?sw=280&sh=280,emb. 576 un (12 x 48 un),https://www.continente.pt/produto/toalhitas-bebe-aqua-pure-dodot-8203701.html,bebe,2025-04-21,Continente
Fraldas Sensitive 4-8kg T2,8208654,30.49,"€0,19/un",Dodot,"Bebé/Fraldas e Toalhitas/Fraldas <2kg/2-5kg/3-6kg (T0, T1 e T2)",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw3b21c287/images/col/820/8208654-hero.jpg?sw=280&sh=280,emb. 160 un (2 x 80 un),https://www.continente.pt/produto/fraldas-sensitive-4-8kg-t2-dodot-8208654.html,bebe,2025-04-21,Continente
Nestum Mel Flocos Cereais +3A,7554421,3.79,"€6,32/kg",Nestum,Mercearia/Alimentação Infantil/Papas Infantis,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9a69aec4/images/col/755/7554421-frente.jpg?sw=280&sh=280,emb. 600 gr,https://www.continente.pt/produto/nestum-mel-flocos-cereais-3a-nestum-7554421.html,bebe,2025-04-21,Continente
Fraldas Sensitive Extra 7-11kg T3,8203666,42.4,"€0,25/un",Dodot,Bebé/Fraldas e Toalhitas/Fraldas 4-11kg/9-15kg (T3 e T4),https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw87346f16/images/col/820/8203666-hero.png?sw=280&sh=280,emb. 168 un (3 x 56 un),https://www.continente.pt/produto/fraldas-sensitive-extra-7-11kg-t3-dodot-8203666.html,bebe,2025-04-21,Continente
Resguardo Cama 60x90,8108522,6.89,"€0,34/un",Continente,Beleza e Higiene/Higiene Íntima/Incontinência/Resguardos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw952540e2/images/col/810/8108522-frente.jpg?sw=280&sh=280,emb. 20 un,https://www.continente.pt/produto/resguardo-cama-60x90-continente-8108522.html,bebe,2025-04-21,Continente
"Iogurte Aroma Tutti Frutti, Morango, Limão, Framboesa, Coco e Banana Pack Poupança",5784205,2.39,"€1,20/kg",Continente,Laticínios e Ovos/Iogurtes/Iogurtes Aromas e Naturais,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwccbc730c/images/col/578/5784205-frente.jpg?sw=280&sh=280,emb. 2000 gr (16 un),https://www.continente.pt/produto/iogurte-aroma-tutti-frutti-morango-limao-framboesa-coco-e-banana-pack-poupanca-continente-5784205.html,bebe,2025-04-21,Continente
Box Fraldas Activity XXL 11-16kg T5,7204030,34.99,"€0,28/un",Dodot,Bebé/Fraldas e Toalhitas/Fraldas 13-18kg/+18kg (T5 e T6),https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw9719522e/images/col/720/7204030-hero.jpg?sw=280&sh=280,emb. 126 un,https://www.continente.pt/produto/box-fraldas-activity-xxl-11-16kg-t5-dodot-7204030.html,bebe,2025-04-21,Continente
