Product Name,Product ID,Price,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Porções de Salmão Fresco,6661780,2.99,"€19,93/kg",,"Frescos/Peixaria/Filetes, Lombos e Postas/Fresco",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw17370d84/images/col/666/6661780-cima-pedra.jpg?sw=280&sh=280,Quant. Mínima = 300 gr (2 un),https://www.continente.pt/produto/porcoes-de-salmao-fresco-6661780.html,frescos,2025-04-21,Continente
Picanha de Bovino América do Sul Inteira,4517263,18.99,"€28,48/un",Continente,"Frescos/Talho/Novilho, Vitela e Vitelão",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwc233a8e6/images/col/451/4517263-frente.jpg?sw=280&sh=280,"emb. 1,5 kg (aprox.)",https://www.continente.pt/produto/picanha-de-bovino-america-do-sul-inteira-continente-4517263.html,frescos,2025-04-21,Continente
Cabaz de Frutas da Época,6872502,18.99,"€3,80/kg",Continente,Frescos/Frutas/Cabazes de Frutas e Legumes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw5033a17b/images/col/687/6872502-cima.jpg?sw=280&sh=280,emb. 5 kg,https://www.continente.pt/produto/cabaz-de-frutas-da-epoca-continente-6872502.html,frescos,2025-04-21,Continente
Presunto Fatiado 9 Meses de Cura,7218060,3.89,"€25,93/kg",Casa do Monte,Frescos/Charcutaria/Presunto,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw22e315ad/images/col/721/7218060-frente-fatia.jpg?sw=280&sh=280,emb. 150 gr,https://www.continente.pt/produto/presunto-fatiado-9-meses-de-cura-casa-do-monte-7218060.html,frescos,2025-04-21,Continente
Pão de Abóbora e Nozes,7371652,0.49,"€4,90/kg",,Frescos/Padaria e Pastelaria/Pão do Dia e Broa,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw885e640d/images/col/737/7371652-cima-acessorio.png?sw=280&sh=280,Quant. Mínima = 2 un (200 gr),https://www.continente.pt/produto/pao-de-abobora-e-nozes-7371652.html,frescos,2025-04-21,Continente
Bacalhau à Gomes de Sá,7740959,3.89,"€12,97/kg",Cozinha Continente,Frescos/Take Away/Refeições Prontas/Peixe e Marisco,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1a92a628/images/col/774/7740959-topshot.jpg?sw=280&sh=280,emb. 300 gr,https://www.continente.pt/produto/bacalhau-a-gomes-de-sa-cozinha-continente-7740959.html,frescos,2025-04-21,Continente
Rolo de Carne de Novilho com Queijo e Fiambre,7298016,11.69,"€12,86/un",Continente Seleção,"Frescos/Talho/Novilho, Vitela e Vitelão",https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw11cadde1/images/col/729/7298016-frente.jpg?sw=280&sh=280,"emb. 1,1 kg (aprox.)",https://www.continente.pt/produto/rolo-de-carne-de-novilho-com-queijo-e-fiambre-continente-selecao-7298016.html,frescos,2025-04-21,Continente
Lombos de Bacalhau 12 Meses de Cura MSC Gourmet Ultracongelado,6364533,32.79,"€32,79/kg",Riberalves,Frescos/Peixaria/Bacalhau/Congelado,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1ae59e77/images/col/636/6364533-frente.jpg?sw=280&sh=280,3 un (1 kg),https://www.continente.pt/produto/lombos-de-bacalhau-12-meses-de-cura-msc-gourmet-ultracongelado-riberalves-6364533.html,frescos,2025-04-21,Continente
Queijo Flamengo Fatiado,6419166,7.49,"€9,36/kg",Campainha,Frescos/Queijos/Fatiado e Bolas,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwb86254bc/images/col/641/6419166-topshot.jpg?sw=280&sh=280,2 un x 400 gr (800 gr),https://www.continente.pt/produto/queijo-flamengo-fatiado-campainha-6419166.html,frescos,2025-04-21,Continente
Palmiers,7548675,3.49,"€4,85/kg",Da Nossa Pastelaria,Frescos/Padaria e Pastelaria/Biscoitos,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw88cd1089/images/col/754/7548675-direito.jpg?sw=280&sh=280,emb. 720 gr,https://www.continente.pt/produto/palmiers-da-nossa-pastelaria-7548675.html,frescos,2025-04-21,Continente
