Product Name,Product ID,Price,Price per unit,Brand,Category,Image URL,Minimum Quantity,Product Link,cgid,tracking_date,source
Creme Corpo Body Milk Hidratante Nutritivo,7397198,5.39,"€8,62/lt",Nivea,Beleza e Higiene/Corpo/Cremes e Loções,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw36ee27f6/images/col/739/7397198-frente.jpg?sw=280&sh=280,emb. 625 ml,https://www.continente.pt/produto/creme-corpo-body-milk-hidratante-nutritivo-nivea-7397198.html,higiene-beleza,2025-04-21,Continente
Aparador Barba King C. com 3 Pentes,7252602,24.04,"€24,04/un",Gillette,Beleza e Higiene/Homem/Barba,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw6baee418/images/col/725/7252602-hero.jpg?sw=280&sh=280,emb. 1 un,https://www.continente.pt/produto/aparador-barba-king-c.-com-3-pentes-gillette-7252602.html,higiene-beleza,2025-04-21,Continente
Champô Anticaspa Legend CR7,7364165,4.94,"€13,72/lt",Linic,Beleza e Higiene/Homem/Cabelo,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1426782f/images/col/736/7364165-hero.jpg?sw=280&sh=280,emb. 360 ml,https://www.continente.pt/produto/champo-anticaspa-legend-cr7-linic-7364165.html,higiene-beleza,2025-04-21,Continente
Sérum de Olhos Revitalift Filler,7514204,18.19,"€909,50/lt",LOréal Paris,Beleza e Higiene/Rosto/Antirrugas e Refirmantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwc1c93d70/images/col/751/7514204-frente.jpg?sw=280&sh=280,emb. 20 ml,https://www.continente.pt/produto/serum-de-olhos-revitalift-filler-loreal-paris-7514204.html,higiene-beleza,2025-04-21,Continente
Escova de Dentes Elétrica Vitality Pro Preta,8123731,28.89,"€28,89/un",Oral-B,Beleza e Higiene/Higiene Oral/Escovas de Dentes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw6bf48f12/images/col/812/8123731-hero.png?sw=280&sh=280,emb. 1 un,https://www.continente.pt/produto/escova-de-dentes-eletrica-vitality-pro-preta-oral-b-8123731.html,higiene-beleza,2025-04-21,Continente
Sabonete Líquido Eco Recarga Hidratante,7748278,7.93,"€5,29/lt",Dove,Beleza e Higiene/Corpo/Sabonetes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw1693cbb5/images/col/774/7748278-hero.png?sw=280&sh=280,emb. 3 x 500 ml,https://www.continente.pt/produto/sabonete-liquido-eco-recarga-hidratante-dove-7748278.html,higiene-beleza,2025-04-21,Continente
Máquina de Barbear Mach3 e 3 Recargas,7361079,11.49,"€11,49/un",Gillette,Beleza e Higiene/Homem/Barba,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8e79cc84/images/col/736/7361079-hero.jpg?sw=280&sh=280,emb. 1 un,https://www.continente.pt/produto/maquina-de-barbear-mach3-e-3-recargas-gillette-7361079.html,higiene-beleza,2025-04-21,Continente
Sérum de Rosto Cellular Luminous 630 Antimanchas Anti-Idade,7803502,19.49,"€649,67/lt",Nivea,Beleza e Higiene/Rosto/Antirrugas e Refirmantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw8eb81567/images/col/780/7803502-frente.jpg?sw=280&sh=280,emb. 30 ml,https://www.continente.pt/produto/serum-de-rosto-cellular-luminous-630-antimanchas-anti-idade-nivea-7803502.html,higiene-beleza,2025-04-21,Continente
Desodorizante Spray Original,5908786,2.99,"€19,93/lt",Dove,Beleza e Higiene/Corpo/Desodorizantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw0b5f264a/images/col/590/5908786-hero.jpg?sw=280&sh=280,emb. 150 ml,https://www.continente.pt/produto/desodorizante-spray-original-dove-5908786.html,higiene-beleza,2025-04-21,Continente
Desodorizante Spray Dark Temptation,4046063,3.59,"€23,93/lt",Axe,Beleza e Higiene/Homem/Desodorizantes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwc7303055/images/col/404/4046063-hero.jpg?sw=280&sh=280,emb. 150 ml,https://www.continente.pt/produto/desodorizante-spray-dark-temptation-axe-4046063.html,higiene-beleza,2025-04-21,Continente
"Pasta de Dentes Eucalipto, Lima e Menta",7227985,1.86,"€24,80/lt",Aquafresh,Beleza e Higiene/Higiene Oral/Pastas de Dentes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw117448e5/images/col/722/7227985-frente.jpg?sw=280&sh=280,emb. 75 ml,https://www.continente.pt/produto/pasta-de-dentes-eucalipto-lima-e-menta-aquafresh-7227985.html,higiene-beleza,2025-04-21,Continente
Recarga Escova de Dentes Elétrica Pro Cross Action Branco,7834734,22.49,"€3,75/un",Oral-B,Beleza e Higiene/Higiene Oral/Escovas de Dentes,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dwe8b12dd2/images/col/783/7834734-hero.png?sw=280&sh=280,emb. 6 un,https://www.continente.pt/produto/recarga-escova-de-dentes-eletrica-pro-cross-action-branco-oral-b-7834734.html,higiene-beleza,2025-04-21,Continente
Creme de Rosto Dia Essentials Hidratante Nutritivo,2053685,4.71,"€94,20/lt",Nivea,Beleza e Higiene/Rosto/Hidratação,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw21124e7b/images/col/205/2053685-hero.jpg?sw=280&sh=280,emb. 50 ml,https://www.continente.pt/produto/creme-de-rosto-dia-essentials-hidratante-nutritivo-nivea-2053685.html,higiene-beleza,2025-04-21,Continente
Coffret Maquilhagem Sou Versátil + Oferta Mini Pincel,7645799,21.11,"€21,11/un",Maybelline New York,Beleza e Higiene/Coffrets e Presentes em Beleza/Maquilhagem para Oferecer,https://www.continente.pt/dw/image/v2/BDVS_PRD/on/demandware.static/-/Sites-col-master-catalog/default/dw349937bb/images/col/764/7645799-hero.jpg?sw=280&sh=280,emb. 1 un,https://www.continente.pt/produto/coffret-maquilhagem-sou-versatil-oferta-mini-pincel-maybelline-new-york-7645799.html,higiene-beleza,2025-04-21,Continente
