,product_name
0,requeijão de ovelha auchan à mesa em portugal cultivamos o bom seia 200 g
1,polen serra de portel
2,caldeirada peixe peniche congelada 800 g
3,sardinha nacional peniche congelada 800 g
4,bebida auchan aveia s/açúcares
5,bebida oatly aveia barista
6,azeite moura dop virgem extra auchan amp cob 750 ml
7,mel serra de portel
8,requeijão santiago ovelha azeitão un
9,azeite moura dop virgem extra
10,requeijao seia primebrands:200 g
11,pastéis chaves igp auchan à mesa em portugal
12,mel serramel flores laranjeira algarve
13,azeite norte alentejano dop virgem extra esporão
14,mel queiro serramel rosmaninho serra da malcata
15,mel serramel eucalipto beira litoral
16,requeijao serra da estrela dop auchan à mesa em portugal cultivamos o bom
17,leite auchan uht meio gordo slim
18,ovos auchan galinhas solo classe l uma dúzia
19,açúcar polegar granulado 1 kg
20,leite mimosa uht meio gordo
21,arroz basmati auchan extra longo
22,ovos auchan galinhas solo classe m duas dúzias
23,iogurte liquido auchan pêssego manga 4x
24,nata auchan uht culinária
25,manteiga milhafre com sal
26,atum posta auchan ao natural 120(84)g
27,iogurte auchan líquido banana e morango 4x
28,batatas fritas auchan palha 200 g
29,batatas auchan fritas onduladas girassol
30,ovos auchan galinhas solo classe l duas dúzias
31,arroz agulha auchan extra longo branqueado
32,iogurte liquido auchan frutos vermelhos 4x
33,polpa de tomate auchan
34,tomate auchan pelado em pedaços sem sal
35,cogumelos laminados auchan essencial 355(185)g
36,ovos auchan galinhas ar livre classe m- l meia dúzia
37,iogurte liquido auchan stracciatella 4x
38,iogurte auchan líquido tutti frutti 4x
39,manteiga auchan à mesa em portugal pasteurizada com sal açores
40,queijo flamengo terra nostra fatias 2x
41,salsichas auchan tipo frankfurt i 350(200)g
42,leite auchan uht meio gordo sem lactose
43,atum em óleo polegar 110(72)g
44,iogurte auchan líquido pina colada 4x
45,atum posta auchan em azeite 120(78)g
46,massa auchan espirais com vegetais
47,milho doce auchan em grão (140)g
48,iogurte liquido mimosa banana 4x
49,pão de forma polegar com côdea 600 g
50,iogurte auchan líquido morango 4x
51,flocos cereais nestum proteína cereais 250 g
52,queijo flamengo auchan ralado
53,iogurte auchan líquido kiwi 4x
54,grão de bico polegar frasco 540 (400) g
55,ovos auchan bio classe m/l meia dúzia
56,bolacha aros auchan chocolate branco
57,sal marinho polegar 1 kg
58,feijão preto auchan cozido 420(260)g
59,cogumelos laminados auchan pack (105)g
60,salsichas polegar frankfurt lata 350 (200) g
61,nata auchan uht para bater
62,bolacha auchan cookies
63,tomate auchan triturado sem sal 400 g
64,salsichas aves auchan lata 350(200)g
65,feijão branco auchan cozido 420(260)g
66,atum posta auchan em óleo 120(78)g
67,bolacha auchan maria 4x
68,ovos matinados do campo ar livre classe m e l uma dúzia
69,queijo flamengo auchan à mesa em portugal açores fatias
70,iogurte auchan aroma tutti frutti 4x
71,polpa tomate polegar g
72,óleo auchan alimentar
73,leite auchan uht magro sem lactose
74,arroz carolino auchan extra longo
75,feijão preto auchan cozido 820(520)g
76,manteiga mimosa com sal
77,laços (farfalle) auchan
78,iogurte auchan aroma banana 4x
79,petit kids clesa morango 6x
80,feijão manteiga auchan cozido 420(260)g
81,brócolos auchan
82,queijo mozzarella fresca auchan
83,leite auchan uht magro slim
84,gelatina auchan tutti frutti 4x
85,leite auchan condensado
86,iogurte auchan natural 8x
87,queijo gouda auchan fatias 150 g
88,leite mimosa uht especial 0% lactose meio gordo
89,iogurte grego natural auchan
90,arroz agulha cigala
91,cebolinho auchan bio frasco
92,massa espirais auchan torti
93,polpa de tomate auchan com cebola e alho
94,iogurte auchan aroma ananás 4x
95,queijo flamengo light auchan fatias
96,batatas auchan fritas girassol camponesas
97,batatas auchan pré-fritas palitos extrafinas girassol
98,atum posta auchan ao natural 385(270)g
99,batatas auchan fritas lisas girassol
100,ervilhas auchan
101,iogurte auchan aroma côco 4x
102,farinha de trigo auchan com fermento
103,feijão encarnado auchan cozido 420(260)g
104,feijão frade auchan cozido 420(260)g
105,polpa de tomate auchan
106,feijão manteiga auchan cozido 820(520)g
107,ketchup auchan top down pet
108,queijo limiano fatias 2x
109,leite uht meio gordo polegar
110,bacalhau auchan demolhado desfiado
111,bolacha aros auchan cobertas com chocolate de leite
112,maionese auchan top down
113,folhas coentros auchan picadas em frasco
114,queijo flamengo auchan à mesa em portugal açores barra kg
115,iogurte auchan aroma morango 4x
116,batatas auchan fritas onduladas sabor presunto
117,batatas auchan fritas lisas light
118,medalhões auchan pescada
119,batatas auchan gourmet fritas extra estaladiças
120,cookies rolo
121,pimentão doce auchan moído 40 g
122,queijo mozarella polegar ralado 200 g
123,natas auchan uht culinária light
124,pão de hambúrguer dulcesol miniaturas 190 g
125,oregãos auchan em folha
126,queijo mozzarella auchan açores ralado
127,açúcar sidul amarelo
128,tomilho picado auchan desidratado em frasco 14 g
129,pão auchan de leite
130,creme auchan culinária
131,queijo mozzarella auchan ralado light 150 g
132,coentros auchan bio moídos frasco
133,flocos de aveia auchan finos e integrais
134,farinha de trigo polegar sem fermento para usos culinários
135,nata auchan uht culinária sem lactose
136,bolacha auchan mini chocolate un
137,creme auchan culinária
138,azeite oliveira da serra virgem extra único 0.75 l
139,feijão manteiga polegar frasco 540 (400) g
140,feijão frade polegar frasco 540 (400) g
141,batatas pré-fritas auchan palitos ao forno
142,feijão encarnado polegar frasco 540 (400) g
143,lombos auchan pescada
144,leite mimosa uht magro
145,gelatina auchan ananás 0% de açúcar 4x
146,azeite polegar
147,grão de bico auchan cozido 820(520)g
148,iogurte auchan líquido morango e banana 6x
149,iogurte liquido mimosa ananas 4x
150,iogurte auchan líquido magro tropical 4x
151,alho auchan picado
152,leite auchan essencial uht meio gordo 3x
153,leite mimosa uht magro bem especial 0% lactose
154,calendário advento kinder
155,feijão encarnado auchan cozido 820(520)g
156,manteiga magra auchan 40% matéria gorda
157,massa auchan cotovelos
158,leite vigor pasteurizado especial meio gordo
159,iogurte auchan natural açucarado 8x
160,atum em óleo bom petisco 120(78)g
161,queijo brie auchan
162,queijo limiano fatias -50% gordura 2x
163,cápsulas dolce gusto buondi
164,creme culinário de soja auchan
165,iogurte auchan pedaços ananás 4x
166,bombons ferrero rocher tipo 16
167,iogurte liquido mimosa pinacolada 4x
168,bolachas auchan essencial recheadas com chocolate
169,puré auchan maçã banana (g
170,queijo emmental auchan ralado
171,leite meio gordo auchan à mesa em portugal açores
172,polpa compal da horta tomate 3x
173,massa auchan macarrão riscado com vegetais
174,óleo auchan de girassol
175,cogumelos inteiros auchan 355(185)g
176,vinagre auchan de vinho branco
177,sumo polegar de limão concentrado
178,barra de cereais polegar alperce e maçã
179,atum em óleo auchan 385(250)g
180,vinagre auchan sidra
181,couve bruxelas auchan
182,cones auchan sabor bacon e queijo
183,cereais fitness 0% açu. ad. cacau prot
184,iogurte longa vida líquido frutos tropicais 4x
185,creme biscoff bolacha lotus caramelizado
186,pão bimbo forma sem côdea
187,esparguete nacional 1 kg
188,nata auchan uht para cozinhar
189,alho auchan granulado miudo
190,iogurte yoggi líquido morango 8x
191,iogurte liquido mimosa pessego 4x
192,leite gresso com chocolate 4x
193,salsichas aves nobre cocktail frasco 360(190)g
194,grão de bico auchan cozido 420(260)g
195,pão auchan de forma sem côdea
196,napolitanas auchan de chocolate
197,iogurte auchan líquido magro ananás 4x
198,mini auchan tostas de trigo
